Reporter	Year	HS code level	Base nomenclature	Product	Number of subheadings	Number of lines	Number of AVDuties	AVDuty average	AVDuty minimum	AVDuty maximum	Percent duty free	Number of non AVDuties	List of non AVDuties	Exchange rate	Import value	List of unit values	Description
"Argentina"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	3.896	6000.79657	"[$ 15.9 per Kilogram]"	"Cigarettes, containing tobacco"
"Argentina"	2009	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	3.71	202.958	"[$ 13.6 per Kilogram]"	"Cigarettes, containing tobacco"
"Argentina"	2008	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	3.14416	59.30803	"[$ 20.7 per Kilogram]"	"Cigarettes, containing tobacco"
"Armenia"	2013	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	409.626	""	""	"Cigarettes, containing tobacco"
"Armenia"	2012	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	401.764	51842.79287	"[$ 19.1 per Thousand]"	"Cigarettes, containing tobacco"
"Armenia"	2011	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	372.501	55735.88293	"[$ 20.7 per Thousand]"	"Cigarettes, containing tobacco"
"Armenia"	2010	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	373.66	64030.7706	"[$ 22.6 per Thousand]"	"Cigarettes, containing tobacco"
"Armenia"	2009	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	363.283	53235.1246	"[$ 25.3 per Thousand]"	"Cigarettes, containing tobacco"
"Bahamas"	2002	6	"HS96"	240220	1	1	1	210	210	210	0	0	""	1	""	""	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	2013	6	"HS12"	240220	1	1	0	""	""	""	0	1	"[100% ad-valorem with minimum charge of: BD 10 per 1000 cigarettes]"	0.376	""	""	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	2012	6	"HS12"	240220	1	1	0	""	""	""	0	1	"[100% ad-valorem with minimum charge of: BD 10 per 1000 cigarettes]"	0.376	""	""	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	2011	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[100% ad-valorem with minimum charge of BD.10 for 1000 cigar]"	0.376	136643.85	"[$ 22.9 per Kilogram]"	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	2010	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[100% ad-valorem with minimum charge of BD.10 for 1000 cigar]"	0.376	60332.889	"[$ 21.7 per Kilogram]"	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	2009	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[100% ad-valorem with minimum charge of BD.10 for 1000 cigar]"	0.376	36924.486	"[$ 19.3 per Kilogram]"	"Cigarettes, containing tobacco"
"Bangladesh"	2013	6	"HS12"	240220	1	1	1	25	25	25	0	0	""	78.103	""	""	"Cigarettes, containing tobacco"
"Bangladesh"	2012	6	"HS12"	240220	1	1	1	25	25	25	0	0	""	81.863	""	""	"Cigarettes, containing tobacco"
"Bangladesh"	2011	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	74.152	""	""	"Cigarettes, containing tobacco"
"Bangladesh"	2010	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	69.649	""	""	"Cigarettes, containing tobacco"
"Bangladesh"	2009	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	69.039	""	""	"Cigarettes, containing tobacco"
"Barbados"	2013	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[$44.09 per kg]"	2	""	""	"Cigarettes, containing tobacco"
"Barbados"	2012	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[$44.09 per kg]"	2	""	""	"Cigarettes, containing tobacco"
"Barbados"	2011	6	"HS02"	240220	1	1	0	""	""	""	0	1	"[$44.09 per kg]"	2	6551.709	"[$ 52.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Barbados"	2010	6	"HS02"	240220	1	1	0	""	""	""	0	1	"[$44.09 per kg]"	2	6399.295	"[$ 52.8 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Barbados"	2007	6	"HS02"	240220	1	1	0	""	""	""	0	1	"[$44.09/kilogramme]"	2	5720.0095	"[$ 41.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Belarus"	2001	6	"HS96"	240220	1	2	0	""	""	""	0	2	"[30 but not less than 3 EURO per 1000 pcs] [30 but not less than 3 EURO per 1000 pcs]"	1390	""	""	"Cigarettes, containing tobacco"
"Belarus"	2000	6	"HS96"	240220	1	2	0	""	""	""	0	2	"[30% but not less than 3 EURO per 1000 pcs] [30% but not less than 3 EURO per 1000 pcs]"	876.75	""	""	"Cigarettes, containing tobacco"
"Belize"	2013	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[$34.40 per lb]"	2	8820.872465	"[$ 31.7 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Belize"	2012	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[$34.40 per lb]"	2	6863.608	"[$ 26.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Belize"	2011	6	"HS02"	240220	1	1	0	""	""	""	0	1	"[$34.40 per lb]"	2	3273.116	"[$ 3.3 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Belize"	2010	6	"HS02"	240220	1	1	0	""	""	""	0	1	"[$34.40 per lb]"	2	15373.91068	"[$ 5.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Belize"	2009	6	"HS07"	240220	1	1	0	""	""	""	0	1	"[$34.40/lb]"	2	4864.70284	"[$ 6.8 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Benin"	2014	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Benin"	2013	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"Benin"	2012	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	510.527	""	""	"Cigarettes, containing tobacco"
"Benin"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	471.866	""	""	"Cigarettes, containing tobacco"
"Benin"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	495.277	6110.8288636	"[$ 5.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	2013	6	"HS12"	240220	1	2	2	10	10	10	0	0	""	6.91	9300.11275	"[$ 9.1 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	2012	6	"HS12"	240220	1	2	2	10	10	10	0	0	""	6.91	5262.72432	"[$ 7.0 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	2011	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	6.937	4419.36266	"[$ 11.0 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	2010	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	7.017	3136.629	"[$ 17.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	2009	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	7.02	4160.147	"[$ 18.3 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Botswana"	2014	6	"HS12"	240220	1	2	2	45	45	45	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Botswana"	2013	6	"HS12"	240220	1	2	2	45	45	45	0	0	""	8.399	""	""	"Cigarettes, containing tobacco"
"Botswana"	2012	6	"HS12"	240220	1	2	2	45	45	45	0	0	""	7.619	""	""	"Cigarettes, containing tobacco"
"Botswana"	2011	6	"HS07"	240220	1	2	2	45	45	45	0	0	""	6.838	36530.1747403	"[$ 63.9 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Botswana"	2010	6	"HS07"	240220	1	2	2	45	45	45	0	0	""	6.794	2073.9428163	"[$ 8.0 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Brazil"	2014	6	"HS12"	240220	1	1	1	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Brazil"	2013	6	"HS12"	240220	1	1	1	20	20	20	0	0	""	2.156	""	""	"Cigarettes, containing tobacco"
"Brazil"	2012	6	"HS12"	240220	1	1	1	20	20	20	0	0	""	1.953	3372.59453	"[$ 5.9 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Brazil"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	1.673	466	""	"Cigarettes, containing tobacco"
"Brazil"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	1.759	785	""	"Cigarettes, containing tobacco"
"Brunei Darussalam"	2011	6	"HS07"	240220	1	2	2	0	0	0	100	0	""	1.258	""	""	"Cigarettes, containing tobacco"
"Brunei Darussalam"	2010	6	"HS07"	240220	1	2	2	0	0	0	100	0	""	1.364	""	""	"Cigarettes, containing tobacco"
"Brunei Darussalam"	2009	6	"HS07"	240220	1	2	2	0	0	0	100	0	""	1.455	18099.3271477663	"[$ 51.8 per Kilogram]"	"Cigarettes, containing tobacco"
"Brunei Darussalam"	2008	6	"HS02"	240220	1	2	2	0	0	0	100	0	""	1.41717	11338.9421312632	"[$ 58.3 per Kilogram]"	"Cigarettes, containing tobacco"
"Brunei Darussalam"	2007	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[$60.00/kg] [$60.00/kg]"	1.5071	142.066357000664	"[$ 33.9 per Kilogram]"	"Cigarettes, containing tobacco"
"Bulgaria"	2006	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[50 min 9.6 eur/1000 pce] [50 min 9.6 eur/1000 pce]"	1.55927	""	""	"Cigarettes, containing tobacco"
"Bulgaria"	2005	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[50 min 9.6 ?/1000 pce] [50 min 9.6 ?/1000 pce]"	1.57413	""	""	"Cigarettes, containing tobacco"
"Bulgaria"	2004	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[50 min 9.6 ?/1000 pce] [50 min 9.6 ?/1000 pce]"	1.57511	""	""	"Cigarettes, containing tobacco"
"Bulgaria"	2003	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[50 min 9.6 ?/1000 pce] [50 min 9.6 ?/1000 pce]"	1.7327	""	""	"Cigarettes, containing tobacco"
"Bulgaria"	2002	6	"HS02"	240220	1	2	0	""	""	""	0	2	"[50 min 9.6 eur/1000 pce] [50 min 9.6 eur/1000 pce]"	2.07698	""	""	"Cigarettes, containing tobacco"
"Burkina Faso"	2014	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Burkina Faso"	2013	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"Burkina Faso"	2012	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	510.527	""	""	"Cigarettes, containing tobacco"
"Burkina Faso"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	471.866	7461.5571223	"[$ 15.1 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Burkina Faso"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	495.277	1087.7589105	"[$ 13.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Burundi"	2014	6	"HS12"	240220	1	2	2	35	35	35	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Burundi"	2013	6	"HS12"	240220	1	2	2	35	35	35	0	0	""	1555.091	""	""	"Cigarettes, containing tobacco"
"Burundi"	2012	6	"HS12"	240220	1	2	2	35	35	35	0	0	""	1442.506	""	""	"Cigarettes, containing tobacco"
"Burundi"	2011	6	"HS07"	240220	1	2	2	35	35	35	0	0	""	1261.073	""	""	"Cigarettes, containing tobacco"
"Burundi"	2010	6	"HS07"	240220	1	2	2	35	35	35	0	0	""	1230.748	""	""	"Cigarettes, containing tobacco"
"Cabo Verde"	2014	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Cabo Verde"	2013	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	83.051	1988.68433853897	"[$ 66.8 per Kilogram]"	"Cigarettes, containing tobacco"
"Cabo Verde"	2012	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	85.822	""	""	"Cigarettes, containing tobacco"
"Cabo Verde"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	79.323	2947.32742079851	"[$ 61.5 per Kilogram]"	"Cigarettes, containing tobacco"
"Cabo Verde"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	83.259	2528.44269088027	"[$ 49.6 per Kilogram]"	"Cigarettes, containing tobacco"
"Cambodia"	2012	6	"HS07"	240220	1	2	2	7	7	7	0	0	""	4033	""	""	"Cigarettes, containing tobacco"
"Cambodia"	2011	6	"HS07"	240220	1	2	2	7	7	7	0	0	""	4058.5	129687.12362491	"[$ 4.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cambodia"	2010	6	"HS07"	240220	1	2	2	7	7	7	0	0	""	4184.917	143501.582275997	"[$ 69.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cambodia"	2008	6	"HS02"	240220	1	2	2	7	7	7	0	0	""	4054.17	116463.21448336	"[$ 4.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cambodia"	2007	6	"HS02"	240220	1	2	2	7	7	7	0	0	""	4056.17	81449.7911223684	"[$ 2.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cameroon"	2013	6	"HS12"	240220	1	1	1	30	30	30	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"Cameroon"	2012	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	510.527	32775.4278587	"[$ 10.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cameroon"	2011	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	471.866	34877.0347285	"[$ 9.9 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cameroon"	2010	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	495.277	24727.4417053	"[$ 10.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Cameroon"	2009	6	"HS02"	240220	1	2	2	30	30	30	0	0	""	472.186	""	""	"Cigarettes, containing tobacco"
"Central African Republic"	2013	6	"HS12"	240220	1	1	1	30	30	30	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"Central African Republic"	2012	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	510.527	""	""	"Cigarettes, containing tobacco"
"Central African Republic"	2011	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	471.866	""	""	"Cigarettes, containing tobacco"
"Central African Republic"	2010	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	495.277	464.681582225704	"[$ 11.3 per Kilogram]"	"Cigarettes, containing tobacco"
"Central African Republic"	2009	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	472.186	279.668816949253	"[$ 8.9 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Chad"	2013	6	"HS12"	240220	1	1	1	30	30	30	0	0	""	494.04	416.419115861064	"[$ 10.7 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Chad"	2011	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	471.866	17.1006396243219	"[$ 5.2 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Chad"	2010	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	495.277	""	""	"Cigarettes, containing tobacco"
"Chad"	2009	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	472.186	""	""	"Cigarettes, containing tobacco"
"Chad"	2008	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	447.805	""	""	"Cigarettes, containing tobacco"
"Chile"	2014	6	"HS12"	240220	1	1	1	6	6	6	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Chile"	2013	6	"HS12"	240220	1	1	1	6	6	6	0	0	""	495.273	9517.55364	"[$ 9.3 per Kilogram]"	"Cigarettes, containing tobacco"
"Chile"	2012	6	"HS12"	240220	1	1	1	6	6	6	0	0	""	486.471	7710.864	""	"Cigarettes, containing tobacco"
"Chile"	2011	6	"HS07"	240220	1	1	1	6	6	6	0	0	""	483.668	6327.90874	"[$ 13.3 per Kilogram]"	"Cigarettes, containing tobacco"
"Chile"	2010	6	"HS07"	240220	1	1	1	6	6	6	0	0	""	510.249	3832.3637	"[$ 12.8 per Kilogram]"	"Cigarettes, containing tobacco"
"China"	2013	6	"HS12"	240220	1	1	1	25	25	25	0	0	""	6.196	""	""	"Cigarettes, containing tobacco"
"China"	2011	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	6.461	74247.655	"[$ 19.6 per Thousand]"	"Cigarettes, containing tobacco"
"China"	2010	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	6.77	71528.282	"[$ 19.7 per Thousand]"	"Cigarettes, containing tobacco"
"China"	2009	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	6.831	72767.824	"[$ 20.8 per Thousand]"	"Cigarettes, containing tobacco"
"China"	2008	6	"HS07"	240220	1	1	1	25	25	25	0	0	""	6.94865	62917.29	"[$ 18.8 per Thousand]"	"Cigarettes, containing tobacco"
"Colombia"	2014	6	"HS12"	240220	1	2	2	15	15	15	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Colombia"	2013	6	"HS12"	240220	1	2	2	15	15	15	0	0	""	1868.785	""	""	"Cigarettes, containing tobacco"
"Colombia"	2012	6	"HS12"	240220	1	2	2	15	15	15	0	0	""	1796.896	74351.9511	"[$ 10.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Colombia"	2011	6	"HS07"	240220	1	2	2	15	15	15	0	0	""	1848.139	21056.57778	"[$ 11.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Colombia"	2010	6	"HS07"	240220	1	2	2	20	20	20	0	0	""	1898.57	22532.284	"[$ 8.4 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Congo"	2013	6	"HS12"	240220	1	1	1	30	30	30	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"Congo"	2011	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	471.866	""	""	"Cigarettes, containing tobacco"
"Congo"	2010	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	495.277	""	""	"Cigarettes, containing tobacco"
"Congo"	2009	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	472.186	""	""	"Cigarettes, containing tobacco"
"Congo"	2008	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	447.805	""	""	"Cigarettes, containing tobacco"
"Costa Rica"	2014	6	"HS12"	240220	1	2	2	40	40	40	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Costa Rica"	2013	6	"HS12"	240220	1	2	2	40	40	40	0	0	""	499.767	26071.17348	""	"Cigarettes, containing tobacco"
"Costa Rica"	2012	6	"HS12"	240220	1	2	2	40	40	40	0	0	""	502.901	23524.05981	"[$ 21.0 per Kilogram]"	"Cigarettes, containing tobacco"
"Costa Rica"	2011	6	"HS07"	240220	1	2	2	40	40	40	0	0	""	505.664	13991.22126	"[$ 11.7 per Kilogram]"	"Cigarettes, containing tobacco"
"Costa Rica"	2010	6	"HS07"	240220	1	2	2	40	40	40	0	0	""	525.829	12590.866	"[$ 11.4 per Kilogram]"	"Cigarettes, containing tobacco"
"C?te d'Ivoire"	2014	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"C?te d'Ivoire"	2013	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	494.04	""	""	"Cigarettes, containing tobacco"
"C?te d'Ivoire"	2012	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	510.527	""	""	"Cigarettes, containing tobacco"
"C?te d'Ivoire"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	471.866	""	""	"Cigarettes, containing tobacco"
"C?te d'Ivoire"	2010	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	495.277	12477.0535459	"[$ 19.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Croatia"	2013	6	"HS12"	240220	1	2	2	38	38	38	0	0	""	5.705	""	""	"Cigarettes, containing tobacco"
"Croatia"	2012	6	"HS12"	240220	1	2	2	38	38	38	0	0	""	5.85	56225.057	"[$ 18178.2 per Tonne (1000 kg)]"	"Cigarettes, containing tobacco"
"Croatia"	2011	6	"HS07"	240220	1	2	2	38	38	38	0	0	""	5.344	55835.567	"[$ 17345.6 per Tonne (1000 kg)]"	"Cigarettes, containing tobacco"
"Croatia"	2010	6	"HS07"	240220	1	2	2	38	38	38	0	0	""	5.498	44486.174	"[$ 21616.2 per Tonne (1000 kg)]"	"Cigarettes, containing tobacco"
"Croatia"	2009	6	"HS07"	240220	1	2	2	38	38	38	0	0	""	5.284	34908.592	"[$ 20414.4 per Tonne (1000 kg)]"	"Cigarettes, containing tobacco"
"Cuba"	2014	6	"HS12"	240220	1	2	2	30	30	30	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Cuba"	2013	6	"HS07"	240220	1	2	2	30	30	30	0	0	""	1	""	""	"Cigarettes, containing tobacco"
"Cuba"	2012	6	"HS07"	240220	1	2	2	30	30	30	0	0	""	1	""	""	"Cigarettes, containing tobacco"
"Cuba"	2011	6	"HS07"	240220	1	2	2	30	30	30	0	0	""	1	""	""	"Cigarettes, containing tobacco"
"Cuba"	2010	6	"HS07"	240220	1	2	2	30	30	30	0	0	""	0.9259	""	""	"Cigarettes, containing tobacco"
"Cyprus"	2002	6	"HS02"	240220	1	2	2	33.8	10	57.6	0	0	""	0.61066	""	""	"Cigarettes, containing tobacco"
"Cyprus"	2001	6	"HS96"	240220	1	2	2	33.8	10	57.6	0	0	""	0.643107	""	""	"Cigarettes, containing tobacco"
"Cyprus"	2000	6	"HS96"	240220	1	2	2	45.85	23.3	68.4	0	0	""	0.622409	301415.8382508	"[$ 11.7 per Kilogram]"	"Cigarettes, containing tobacco"
"Cyprus"	1999	6	"HS96"	240220	1	2	2	45.85	23.3	68.4	0	0	""	0.542948	313834.413112	"[$ 14.6 per Kilogram]"	"Cigarettes, containing tobacco"
"Cyprus"	1998	6	"HS96"	240220	1	2	2	55.25	36.7	73.8	0	0	""	0.517826	331895.5790452	"[$ 15.0 per Kilogram]"	"Cigarettes, containing tobacco"
"Czech Republic"	2003	6	"HS02"	240220	1	2	2	55	55	55	0	0	""	28.209	""	""	"Cigarettes, containing tobacco"
"Czech Republic"	2002	6	"HS02"	240220	1	2	2	55	55	55	0	0	""	32.7385	""	""	"Cigarettes, containing tobacco"
"Czech Republic"	2001	6	"HS96"	240220	1	2	2	55	55	55	0	0	""	38.0353	14019.6857353173	"[$ 0.007 per Number/each/head]"	"Cigarettes, containing tobacco"
"Czech Republic"	2000	6	"HS96"	240220	1	2	2	55	55	55	0	0	""	38.5984	14352.1832599119	"[$ 0.007 per Number/each/head]"	"Cigarettes, containing tobacco"
"Czech Republic"	1998	6	"HS96"	240220	1	2	2	58.3	58.3	58.3	0	0	""	32.2812	29357.3471525067	"[$ 0.011 per Number/each/head]"	"Cigarettes, containing tobacco"
"Democratic Republic of the Congo"	2010	6	"HS07"	240220	1	2	2	20	20	20	0	0	""	905.913	""	""	"Cigarettes, containing tobacco"
"Democratic Republic of the Congo"	2009	6	"HS02"	240220	1	2	2	20	20	20	0	0	""	809.786	""	""	"Cigarettes, containing tobacco"
"Djibouti"	2014	6	"HS07"	240220	1	1	1	26	26	26	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Djibouti"	2012	6	"HS07"	240220	1	1	1	26	26	26	0	0	""	177.721	""	""	"Cigarettes, containing tobacco"
"Djibouti"	2011	6	"HS07"	240220	1	1	1	26	26	26	0	0	""	177.721	""	""	"Cigarettes, containing tobacco"
"Djibouti"	2009	6	"HS02"	240220	1	1	1	26	26	26	0	0	""	177.721	""	""	"Cigarettes, containing tobacco"
"Djibouti"	2006	6	"HS92"	240220	1	1	1	33	33	33	0	0	""	177.721	""	""	""
"Dominica"	2014	6	"HS07"	240220	1	1	1	45	45	45	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Dominica"	2013	6	"HS07"	240220	1	1	1	45	45	45	0	0	""	2.7	""	""	"Cigarettes, containing tobacco"
"Dominica"	2012	6	"HS07"	240220	1	1	1	45	45	45	0	0	""	2.7	235.1468205	"[$ 13.1 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Dominica"	2011	6	"HS02"	240220	1	1	1	45	45	45	0	0	""	2.7	""	""	"Cigarettes, containing tobacco"
"Dominica"	2010	6	"HS02"	240220	1	1	1	45	45	45	0	0	""	2.7	219.0449366	"[$ 83.7 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Dominican Republic"	2014	6	"HS12"	240220	1	4	4	20	20	20	0	0	""	""	""	""	"Cigarettes, containing tobacco"
